"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	2000	44.7213595499958	1992.26090609685	0	90.712605188617	78.9790470207278	1982.10409013381	0	98.5598883156112	37.4112547923838
"2"	1598	39.9749921826134	1599.07496530151	0	72.1805132646608	70.4880591403949	1594.69195881464	0	75.1272326055443	33.1966829076371
"3"	1278	35.749125863439	1269.40598007916	0	67.4489634086818	63.6432796709898	1273.31379382024	0	68.8866552749114	29.8488741288459
"4"	1022	31.9687347262916	1016.73302614997	0	60.341473940925	55.7570339820565	1012.80570696771	0	65.1955181877955	26.474966613572
"5"	816	28.5657137141714	814.234728521879	0	54.6093836738228	53.0567415497548	819.528828760249	0	59.8702622991795	24.2455141251456
"6"	652	25.5342906696074	644.454695270033	0	49.8296904442965	45.9393107712742	644.695130657263	0	50.4908828188437	21.4987010732281
"7"	520	22.8035085019828	521.647289302823	0	43.9864040018863	41.1436808731248	523.114578945919	0	48.7574515539673	19.1327434874138
"8"	414	20.3469899493758	416.655757129755	0	39.6916879175499	36.3119261348215	415.78428576226	0	39.1204704339955	17.0253940203123
"9"	330	18.1659021245849	332.165859964092	0	32.7292823786313	32.8833959043226	332.391169349986	0	34.5529378350425	15.2085155214732
"10"	262	16.1864140562386	258.140834520138	0	33.4490618990522	29.2672058008516	258.047579308191	0	35.145062978997	13.5775597476621
"11"	208	14.422205101856	209.436211434984	0	27.942818818748	26.0360181534998	205.788996781519	0	27.6584296162403	12.1306222534013
"12"	166	12.8840987267251	168.125200204419	0	25.2250244587942	23.7317437504808	166.572877558326	0	28.1600561759579	10.9024643096819
