"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	1000	31.6227766016838	1011.97638229052	0	132.02365105991	149.770819792218	1025.85438208918	0	152.020993611091	89.6566293151107
"2"	799	28.2665880502051	798.732443108779	0	107.610926237504	132.144275902284	809.029849448961	0	122.515591450606	79.5563449585552
"3"	639	25.2784493195291	649.733451767627	0	112.964599520228	118.73151865143	641.946537308237	0	119.738333186885	71.533271469446
"4"	511	22.6053091109146	512.990463651758	0	98.751324991681	104.728514422181	518.723871320761	0	108.251352154298	63.4476518666914
"5"	408	20.1990098767242	413.691814761993	0	85.2288503281468	95.7479053168822	400.883493328422	0	95.5948626005845	58.1047356469963
"6"	326	18.0554700852678	335.345579117663	0	78.3183987755286	85.8814783574041	335.129280253879	0	82.0545666530852	51.5219573404005
"7"	260	16.1245154965971	258.078558239982	0	65.8078773801451	76.0939938283354	254.581151482632	0	75.9419529640073	45.8519047569463
"8"	207	14.3874945699382	202.017750981115	0	61.7211982116482	67.9196199787256	204.071801768069	0	60.9239279642794	40.8016103547015
"9"	165	12.8452325786651	163.03728834844	0	51.4589927417541	60.1229600388278	161.669121392878	0	60.5788106140744	36.4474341146446
"10"	131	11.4455231422596	135.617199374495	0	50.3426522867141	53.7402042766457	135.881641147306	0	56.3644129457306	32.5388242528074
"11"	104	10.1980390271856	101.660723097829	0	39.9966228752444	47.9588532221128	109.062128751352	0	46.1486025440039	29.0712168062117
"12"	83	9.1104335791443	80.4585716082819	0	36.557012392282	43.3020969146031	83.6172349651819	0	42.7792880100511	26.1279180913704
