"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	10000	100	9991.83394220583	0	158.378589212658	208.501447853125	9986.25507372584	0	177.992616078616	193.620362960265
"2"	7990	89.3867999203462	7988.22911778771	0	146.67022980584	184.283524106529	7977.75433093517	0	170.172227459447	171.808024571223
"3"	6390	79.9374755668454	6380.09634345733	0	129.775831778821	166.132095642357	6387.53775860258	0	140.914335141064	154.481582680425
"4"	5110	71.4842640026461	5109.67370831124	0	127.792138529098	147.871847208916	5105.69993297777	0	134.321117619907	137.020067399811
"5"	4080	63.8748776906852	4080.60962781476	0	105.320448245415	133.478417207333	4094.45040149741	0	113.205738559176	125.481630401502
"6"	3260	57.0964096944808	3254.88535619052	0	99.7152531367132	118.776683821235	3254.74065252468	0	109.959929043772	111.265615865935
"7"	2600	50.9901951359278	2597.12462484687	0	82.5150983652363	105.877826846339	2602.01178787964	0	92.3086243638003	99.0207028892633
"8"	2070	45.4972526643093	2064.34618405561	0	83.8607683745718	94.2771616220865	2062.24896297212	0	78.1549742450763	88.114204974347
"9"	1650	40.6201920231798	1650.26155058474	0	66.7873135112766	84.2061399639602	1652.27989256635	0	80.3344091473282	78.7110277280805
"10"	1310	36.1939221417077	1306.98663661209	0	63.528767644602	75.1425195267381	1307.02279672144	0	71.7549592105692	70.2700850610864
"11"	1040	32.2490309931942	1042.65344901657	0	56.0534992686252	67.2129279708072	1035.50911623108	0	59.9095396559045	62.781520989501
"12"	830	28.8097205817759	831.993001422753	0	49.9930251201558	60.1075799013135	828.792694810105	0	52.3125087795917	56.4252420776916
