"","Fast.expected","Medium.expected","Slow.expected","Fast.reg","Medium.reg","Slow.reg","Fast.eq","Medium.eq","Slow.eq"
"1",1000,1000,10000,1093.79260618067,1072.6143293781,10055.4190281085,920.078437498972,1098.46847594746,9978.32275639673
"2",949,949,9490,1157.67981527508,969.272733328453,9465.42692392532,1028.29418935223,824.195988250288,9630.3579369715
"3",901,901,9010,1120.0551979456,843.240617550264,8990.57023353487,999.731013003368,722.266670023107,9053.70823318183
"4",855,855,8550,1011.07799409706,921.290221822237,8789.28632013036,793.422563974311,1059.09967353741,8605.20318405649
"5",812,812,8120,951.773111109287,751.733264174973,8161.91752234368,783.413113130965,762.772467160353,8148.52321694873
"6",771,771,7710,868.230491914155,638.688722016977,8036.57603265643,685.648127529869,780.651983263988,7814.54623134809
"7",732,732,7320,876.586531165094,759.564602939572,7376.12700108971,781.614508531509,692.312125920695,7403.81677372246
"8",695,695,6950,821.724292052768,776.946134227655,6850.18873542714,733.84905616247,682.176638485336,6906.91864889623
"9",660,660,6600,869.533226416224,553.728150482557,6748.30114247439,713.287047061676,567.687734675492,6728.22760127885
"10",626,626,6260,731.396531095825,672.87592887631,6301.78205115448,654.071267772308,607.524240128949,6327.00838123079
"11",594,594,5940,724.971183223088,494.288687706958,5982.64295609151,621.676211337974,515.04980480522,5912.31738136742
"12",564,564,5640,649.891910312026,635.799470725833,5496.10941920395,584.167175390353,570.63036969092,5519.87799283676
"13",535,535,5350,616.665834722207,599.484465820615,5422.14037966353,548.568622402945,566.769581631914,5414.61194302435
"14",508,508,5080,639.776882997621,530.953868244405,4932.48813644255,562.860540810506,498.944522774262,4934.52956860324
"15",482,482,4820,581.019268580112,432.397456959961,4933.76762416144,485.555272058895,459.601330077328,4889.67526931865
"16",457,457,4570,577.5877777197,497.446015767455,4483.04105320471,461.900297236771,551.317192810411,4414.99252118387
"17",434,434,4340,466.302180307857,512.147391131039,4438.85957250061,349.10080829529,592.590930099546,4350.96616741697
"18",412,412,4120,519.610749679441,248.005994989721,4290.27967347478,474.42349976498,187.155994927647,4314.72915108291
"19",391,391,3910,510.007664202449,431.630933927522,3893.98634021661,417.130413913074,478.191121469407,3801.01570958792
"20",371,371,3710,438.343156566784,492.343705297203,3587.78179549964,377.629418101304,520.21953238799,3488.53495846988
"21",352,352,3520,379.524840145846,487.455658354293,3457.15346286237,352.595043880336,428.697785463268,3459.35059849686
"22",334,334,3340,426.606222600512,232.33599936088,3609.03138432804,308.740260425405,392.728952612939,3375.22421479599
"23",317,317,3170,335.679541542377,371.13470556576,3174.20763442099,296.150967521835,312.702608647301,3249.63425381084
"24",301,301,3010,392.046110053188,297.092563692345,3030.9870481416,333.84811653987,276.428236228667,3035.39597036641
"25",285,285,2850,356.728605903736,295.962597603566,2805.52261584734,319.021951230999,252.050650891749,2837.96945994546
"26",270,270,2700,357.74470058248,302.226544128048,2542.45970231611,276.277432376449,369.857091352418,2451.87764598155
"27",256,256,2560,301.469586488079,239.830727986009,2564.07660690924,264.473612489201,215.565821889541,2565.91931656243
"28",243,243,2430,284.49015125771,279.883280589283,2446.63822686956,241.497679778811,275.629701988471,2432.89845635116
"29",230,230,2300,241.48520798014,193.822129412561,2349.18024066686,181.026898239457,245.68879461682,2284.84177776831
"30",218,218,2180,263.740179359197,269.077929688378,2079.98661007224,258.328316977912,198.739659786223,2140.32122054331
"31",207,207,2070,237.334709450379,268.039895612264,2036.28866582244,177.558995509458,306.97818039275,1992.46289856428
"32",196,196,1960,206.951043728404,228.324992810844,1993.14087368839,188.813952018262,202.12904990872,1994.97731422418
"33",186,186,1860,196.308933460618,217.449738662049,1768.81440051734,176.078907646326,187.29607744251,1807.61961018551
"34",176,176,1760,236.607956048488,135.320133136847,1787.47248400585,181.207606685706,149.975121551142,1793.68328523333
"35",167,167,1670,188.310053676375,130.827898740677,1743.90191358654,183.220452366751,97.5457423357517,1756.37102505388
"36",158,158,1580,181.199289046517,132.181724221095,1681.50373672074,146.749662194679,136.851172049771,1680.70056249712
"37",150,150,1500,170.808061135945,149.118717071949,1420.36746198452,123.965044620768,176.574233798056,1397.62696482492
"38",142,142,1420,163.813879466675,206.417466152634,1340.00910873127,158.722101934585,163.256934251647,1381.11055474134
"39",134,134,1340,193.207595264143,70.7817414927422,1321.42911381158,134.309001605981,144.105401321207,1238.04253558563
"40",127,127,1270,157.461129544702,101.783655312304,1319.50478324853,131.80792870366,110.689001236021,1298.02469461484
"41",120,120,1200,142.758657902834,177.329437646076,1093.28293860542,136.990622762787,127.202080474381,1140.30948948118
"42",113,113,1130,142.413640050477,110.491289052902,1100.14356796034,127.625892091679,80.5254039129309,1140.37164236353
"43",107,107,1070,110.119170545377,86.9074005464199,1079.62610230098,107.425922849092,48.9011861066243,1113.19763505042
"44",101,101,1010,149.175472006718,87.699807129477,985.862090194121,119.098691541355,95.1145457584669,971.003192858257
"45",95,95,950,113.141126339519,68.615032313744,980.514587319458,94.4350964230647,78.8274094457204,955.104314292381
"46",90,90,900,130.067265350772,38.3716864974167,945.840225262652,117.620426053854,24.1157923628292,949.605052477653
"47",85,85,850,113.35558507662,111.502940362147,777.277060938927,96.4703870559137,110.697510170364,774.91092734062
"48",80,80,800,57.6648637851895,145.784982123585,882.383646223886,80.6088701447223,79.5596065599237,923.613584690021
"49",75,75,750,96.2219166231262,85.9270064051998,692.550926435219,90.3630903968079,69.0979878167511,706.419135706903
"50",71,71,710,79.9374419970195,74.3836612343648,683.868348385479,82.8402049536019,42.5604381484959,719.168650330357
"51",67,67,670,49.9664447841906,100.513227671358,652.206981556096,45.6611134800985,79.9946097119614,677.636413774319
"52",63,63,630,79.5374633305596,72.3825151708229,676.019444444501,47.6620629207368,109.16189725784,637.822943950856
"53",59,59,590,67.3482040125623,49.6799738837717,584.157184071296,57.6040436982907,49.631922158809,575.469793456505
"54",56,56,560,22.319292943971,121.592114819211,476.169324303696,43.6715917772522,81.9026905544279,508.493880724888
"55",53,53,530,62.7903903130596,46.4696825516262,477.29207579021,59.0196324823912,34.5699494734508,494.228487199334
"56",50,50,500,30.9933482684983,91.9491794326109,440.775683089155,30.6118326347863,83.1780785656709,452.783667737175
"57",47,47,470,32.1121207071565,102.070104008526,419.876333391707,33.4352847772783,79.4886975729823,441.497468375676
"58",44,44,440,68.3528769596273,13.65707167511,392.328786319121,43.1045181665265,52.2921401082025,341.083220239377
"59",41,41,410,25.0199805218017,43.9984861559117,389.495988214144,27.2281661895885,40.8002505088006,379.632385434253
"60",38,38,380,45.4191078271947,44.925777941628,368.311080420732,44.8199256993425,46.2049647340362,349.580794648237
"61",36,36,360,89.1114735138058,-27.0988616253214,436.326359217231,77.1404796593954,0,445.0771780308
"62",34,34,340,42.2184153306648,6.79548973256146,375.626084683579,28.6767744543024,26.2481593882512,351.319467023173
"63",32,32,320,57.7141109541992,44.929962276085,312.324191631515,38.549706975765,68.4474072904673,289.511218525144
"64",30,30,300,39.2580911075561,29.8933893427443,281.397465865142,32.6008536735972,34.7795797825594,265.172747814052
"65",28,28,280,28.1419245510494,40.323920080383,274.185517501729,35.1814338211672,13.0572168203727,298.616995632921
"66",26,26,260,28.6296705425377,17.1602382561298,272.11665540114,20.3902129994866,32.335676812028,248.806301312844
"67",24,24,240,20.3358910582085,30.6913213606401,213.830999827436,30.7750625920939,2.7245562831183,238.088292996447
"68",22,22,220,45.8376816522298,4.46390280106129,238.058340426924,18.9417073657178,41.3505821417413,208.361499980556
"69",20,20,200,6.03323697112842,43.6525700310483,171.45243515718,20.4725113690026,10.3651717537273,202.750544441792
"70",18,18,180,7.9095825300476,31.6365865532543,166.180410665191,7.75534351909762,32.299652235873,164.440895324786
"71",17,17,170,28.7759922090197,3.8068503578279,204.883824901433,27.0683560509263,0,212.895203513005
"72",16,16,160,7.18646189879337,34.7309448627789,157.629689587438,11.577926135248,23.8411931261697,168.610183039439
"73",15,15,150,25.7534793582295,-14.9628430415748,201.961177746791,12.8092643527802,1.58900860645035,182.879353577554
"74",14,14,140,14.0727160843971,10.7235509155873,138.67043743624,11.9686798670048,8.75259577833418,142.819467680658
"75",13,13,130,22.0307496558871,-0.826918902489524,139.791000120382,15.6919987794244,9.8388635558768,125.719031343777
"76",12,12,120,8.09496810337009,14.0588242438628,124.869826000098,4.07322510690866,17.459539033762,124.134593354457
"77",11,11,110,15.6844911321389,2.96286485429164,121.424063791777,20.3803122351821,0,126.938559724611
