"Fast,expected"	"Medium,expected"	"Slow,expected"	"Fast,reg"	"Medium,reg"	"Slow,reg"	"Fast,eq"	"Medium,eq"	"Slow,eq"
"1"	1000	1000	10000	1091,58925044613	962,776337884492	10157,3023124737	1105,85712889713	932,989054171799	10177,1664988884
"2"	979	979	9790	901,117356687633	965,946587935823	9983,8446076291	893,046607866418	989,00584009076	9950,62154677436
"3"	959	959	9590	911,039418061266	1128,04087186237	9440,84243980422	906,253884487628	1117,6789394655	9468,31713507912
"4"	939	939	9390	1015,42203826503	801,932136369252	9339,8490263592	1006,22868042853	875,380067723761	9201,45834968613
"5"	920	920	9200	865,225955776007	903,89591048509	9505,47578982771	832,59183981629	1016,7766461273	9364,79219504432
"6"	901	901	9010	893,03517596422	943,961196244217	8728,69719491604	927,861960344261	818,27944864859	8900,03601727893
"7"	882	882	8820	915,601035383124	895,523246434604	8644,33695702332	881,125914464613	976,101955109031	8562,94953516075
"8"	864	864	8640	805,649398051142	862,611274602995	8750,35868777685	754,779496076579	1016,28071143973	8563,21765833391
"9"	846	846	8460	898,763043786879	765,210618275715	8582,05891199907	829,782076962518	896,930667558642	8459,34830213051
"10"	829	829	8290	866,399900080971	847,070668984458	8313,38774086252	848,970400557044	866,095061204663	8292,68054278702
"11"	812	812	8120	857,954747028182	676,766843946604	8302,06352583219	828,200062509573	831,896115888325	8069,57077789143
"12"	795	795	7950	785,105438197553	734,674420355328	8087,32035823259	728,548488235857	870,714082038415	7923,76848075647
"13"	779	779	7790	806,887409899023	702,105439954576	7967,27784024289	811,033270933657	660,089792011907	8034,71242020166
"14"	763	763	7630	715,335373961258	830,562899372609	7408,203137616	688,15060610565	859,633325321258	7421,45628764154
"15"	747	747	7470	698,925367482768	780,303912599631	7377,37417682516	695,22236782721	783,789387092772	7368,88519762015
"16"	732	732	7320	675,483856178348	728,604263285616	7123,85369641212	706,401688169915	708,701459908865	7088,72534571847
"17"	717	717	7170	653,525890816885	702,315750522433	7069,21818357464	636,60681356154	670,611072413527	7161,31202584137
"18"	702	702	7020	768,63509669757	655,654263892962	7052,6447297034	778,996053265967	644,572395262249	7037,36139077191
"19"	687	687	6870	658,915100459563	787,443113724154	6798,44965118191	701,180742156204	645,405823394453	6980,38162847528
"20"	673	673	6730	719,571049838024	658,066187333427	6590,45254461103	714,781085705491	618,976071208429	6685,86219120659
"21"	659	659	6590	706,740134004889	575,961851760812	6574,69761303949	694,894916096336	594,325278474619	6561,73372282281
"22"	645	645	6450	605,668139801653	694,125248454205	6230,67138968841	651,999954522424	572,102193797542	6364,17178478534
"23"	632	632	6320	608,857180315629	671,077659632574	6405,70864887308	574,275274115779	761,40736378574	6285,75020135828
"24"	619	619	6190	641,204048890616	510,825078239687	6223,45512586547	616,690710088952	587,440308777776	6115,7568708828
"25"	606	606	6060	573,647606671734	698,881004726058	5998,3836945186	588,524994937661	633,951568480289	6115,21356796614
"26"	593	593	5930	656,504159732049	541,542267915035	5846,81349396328	614,039617545509	664,093416577215	5699,69931423938
"27"	581	581	5810	579,278239159764	596,907441909573	5863,09840970944	580,75720544565	579,553410482328	5908,2332374655
"28"	569	569	5690	547,292052393233	580,882068719215	5723,90211360145	552,757666873482	560,117606800492	5742,81298863844
"29"	557	557	5570	568,152768551728	549,09188003919	5599,61253419542	574,097412399048	499,991430912467	5685,51964663922
"30"	545	545	5450	600,286639285641	525,005260173751	5318,31569052559	587,884510691482	544,480345879658	5300,66585558891
"31"	534	534	5340	590,740207070064	435,557645912489	5328,5827810302	560,549445976617	488,241144687769	5288,91447803082
"32"	523	523	5230	515,415897843554	511,331659329239	4920,00317864351	514,878828275724	505,432297783685	4940,0573623462
"33"	512	512	5120	585,858228600065	412,364199301641	5274,04752178378	536,628111481203	541,481206634093	5122,30652819446
"34"	501	501	5010	509,583321966706	426,958823362048	5109,16315738825	497,381579827403	490,810448081207	5017,76158131809
"35"	490	490	4900	447,606253083894	500,388314798795	4955,2396950667	511,540592737403	338,398361205383	5151,03703532944
"36"	480	480	4800	488,272678576236	510,578888229038	4702,61708985102	518,086167435677	477,325540262462	4721,58344031544
"37"	470	470	4700	432,088055499644	469,476107595617	4724,21271369627	398,422067738984	562,35822230558	4602,35820579958
"38"	460	460	4600	419,955567489446	474,480908081778	4520,22579011934	370,509496534795	583,995378412894	4401,884418311
"39"	450	450	4500	465,365063519542	419,665219725957	4427,49475112227	425,795212183738	534,756115592995	4286,32309497185
"40"	440	440	4400	423,439465153443	401,159138298743	4500,94441142791	422,27160865989	368,752395893861	4551,33549541681
"41"	431	431	4310	385,429212779745	456,999187996738	4258,87111036215	379,557933673203	493,259981613885	4194,14373042166
"42"	422	422	4220	384,670065181703	401,573747111704	4142,6156462569	366,819059904022	517,014346898207	3966,31628349364
"43"	413	413	4130	388,707470381154	482,589105144762	4067,55572682616	363,261195235857	518,781311428668	4041,92050121808
"44"	404	404	4040	413,676272101361	308,65989612407	4209,51503921879	433,582740381848	262,093363496669	4248,13867803671
