"Fast,expected"	"Medium,expected"	"Slow,expected"	"Fast,reg"	"Medium,reg"	"Slow,reg"	"Fast,eq"	"Medium,eq"	"Slow,eq"
"1"	1000	1000	10000	1165,87945807831	954,339259620629	10739,3344495196	955,595866545405	1047,04378027413	10560,3397890829
"2"	979	979	9790	1163,60571225481	949,505458720159	10295,535529112	1011,25273089019	899,078021613376	10323,5213195231
"3"	959	959	9590	1010,62663199809	1134,42056292881	10028,2350846149	888,588830501115	1026,43967972867	10149,9911693265
"4"	939	939	9390	1147,60583825822	747,023416432439	10126,5099704295	928,66128849089	873,608998396573	9945,52271255077
"5"	920	920	9200	1099,52608542217	702,118589006786	10286,0179847629	870,738112688621	855,755427049923	10093,8740599137
"6"	901	901	9010	1016,17458389539	903,959672379187	9718,61307392175	879,13410143418	829,148853170458	9817,35936606069
"7"	882	882	8820	995,07705937096	888,323107816459	9670,29039073727	869,600250246379	863,867265929364	9646,21640314537
"8"	864	864	8640	991,412363803256	717,753968827919	9527,18179365579	825,624066028748	736,532122653738	9477,42826293517
"9"	846	846	8460	931,949265931717	897,025520625557	8978,39266989323	786,954652217558	880,624685359941	8994,26630460751
"10"	829	829	8290	971,568426079884	604,975916126295	9123,84225751653	827,532886805091	583,013468020761	9147,74884819552
"11"	812	812	8120	1007,27606544129	688,559984056046	9175,84134334488	833,655108252181	724,272663110764	9087,04048672302
"12"	795	795	7950	961,747599284445	825,000639300697	8490,40062859946	861,089437134687	650,909734363057	8726,23157516148
"13"	779	779	7790	874,338901344272	709,569404993972	8441,02010867165	863,316068721428	412,753271660526	8737,17730178351
"14"	763	763	7630	953,632251925874	597,679529779098	8316,2479405562	820,812188962387	522,058087699437	8417,94077161455
"15"	747	747	7470	891,027050678222	709,581439203093	8173,74745125147	801,590464376563	551,646324958625	8363,57587414442
"16"	732	732	7320	843,528070985485	721,71307898373	8050,42062846787	794,474945036365	504,737932934102	8308,24114758878
"17"	717	717	7170	811,624818181017	702,410293769099	7801,04804106086	723,093222623311	596,960994340504	7913,00459249898
"18"	702	702	7020	835,291598076556	647,630109161519	7597,04594913259	700,25740115392	616,018278948133	7634,22771128913
"19"	687	687	6870	815,075221995376	612,987717743226	7519,55592755684	680,061795079215	643,000459715179	7452,63996176877
"20"	673	673	6730	831,688592274868	609,928116806759	7248,90201220644	734,718765463592	504,244499155296	7365,77787736336
"21"	659	659	6590	654,279542733575	687,619928347467	7065,59915530624	566,288174316836	658,422931541848	7083,01402946537
"22"	645	645	6450	681,052486033468	699,341309632391	7065,07656893901	618,843494305594	628,231537038477	7106,16579003228
