"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	2000	44.7213595499958	1997.58548759263	0	83.8278933009399	71.2939735286641	1998.6703033704	0	87.3579103626363	37.6056192184197
"2"	1898	43.5660418215839	1900.52483298069	0	84.5263435140252	68.9273428876556	1898.31116398532	0	89.3587919884726	36.5954683843763
"3"	1802	42.4499705535822	1801.37574967284	0	80.3604221432345	67.4832407291338	1803.41133069198	0	85.9168401508672	35.7672237002823
"4"	1710	41.3521462562707	1709.29968596752	0	80.0828657280094	65.7744520153599	1710.34457567763	0	84.331477214437	34.8271474213483
"5"	1624	40.2988833592198	1621.61276943678	0	76.1944090909741	63.2906622717014	1621.94697213882	0	83.6384069982668	33.856128878569
"6"	1542	39.2683078321437	1540.43388566471	0	75.5709370953166	62.3012106972159	1537.01306456936	0	80.754874385423	32.9338336891665
"7"	1464	38.262252939418	1463.28396115251	0	71.6934511072237	61.4683375331058	1465.00765462258	0	75.2514166582803	32.3505915141758
"8"	1390	37.2827037646145	1389.28610420156	0	72.0705645409163	59.0650106927347	1390.21052023009	0	74.3488895246332	31.2969299743106
"9"	1320	36.3318042491699	1318.02515027338	0	68.7753751605512	57.096813467028	1319.39989990448	0	73.9324305671628	30.5219456130344
"10"	1252	35.3836120259083	1253.45998335448	0	66.5117397599813	55.6617319175684	1254.58563884378	0	72.384571016634	29.7144031148136
"11"	1188	34.4673758792282	1187.52767759545	0	66.575817935331	54.8098445129271	1186.85632508511	0	71.2755837229627	29.0159944813363
"12"	1128	33.5857112474933	1128.80697469941	0	65.3127373011036	53.6262040988614	1127.57575198293	0	68.6971886275225	28.3235704429612
"13"	1070	32.7108544675922	1070.07330601582	0	62.901580411716	51.7418007113876	1071.26942948562	0	65.3415321181999	27.4626448780588
"14"	1016	31.8747549010185	1017.22802296492	0	59.1736006806418	50.0363516757216	1018.17994005328	0	62.0065153772221	26.8151392897429
"15"	964	31.04834939252	963.049946003608	0	58.6025393720029	48.7877939660861	964.080725797812	0	60.6598089973385	26.0457341733392
"16"	914	30.2324329156619	915.453959293357	0	57.3663173072495	47.7262931509842	915.662152115552	0	61.0195298849056	25.3329884985378
"17"	868	29.4618397253125	866.192746358752	0	56.6329714534955	46.4898365741019	866.731637487113	0	59.5660253033313	24.7488292918397
"18"	824	28.7054001888146	825.40469999377	0	54.5592154889942	44.2914231535394	823.929856208471	0	57.6713041365117	23.9640473273796
