"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	1000	31.6227766016838	1001.17492832446	0	130.536261977922	125.218186915002	997.704675788856	0	143.081143680582	90.1224265778808
"2"	949	30.8058436014987	945.900795296116	0	130.025518862083	122.093749753437	950.997566291991	0	140.184679582108	87.7015850673691
"3"	901	30.0166620396073	900.7159217038	0	122.769064293849	119.454686756425	897.856526261078	0	136.337571803138	85.7166843508545
"4"	855	29.2403830344269	860.99212013853	0	119.889466558806	115.731526241743	858.648772426442	0	128.550732973281	83.4637775541974
"5"	812	28.49561369755	815.156416270108	0	113.106360649048	112.851300767739	812.865620884133	0	131.347175791665	81.1367171576228
"6"	771	27.7668867538296	770.547746975477	0	114.105767246321	109.592147711775	776.612499551148	0	124.681518697104	78.926422956306
"7"	732	27.0554985169374	731.317626856169	0	112.046253200391	107.525571050632	727.23406839653	0	120.265831856965	77.528674442278
"8"	695	26.3628526529281	697.904987292895	0	107.51506291456	104.000708686641	695.306592805569	0	115.466409676076	75.0035588983098
"9"	660	25.6904651573303	659.765300110721	0	107.43798608202	101.8031452332	657.921866249316	0	119.629638459525	73.1462973003534
"10"	626	25.0199920063936	625.058102399777	0	101.894964616696	99.04273604166	621.913361147522	0	114.405040750162	71.2110096325738
"11"	594	24.3721152139079	593.373008378249	0	98.4679079909514	96.3839514201684	594.488023403821	0	108.237388320439	69.5372629181964
"12"	564	23.7486841740758	562.284984293395	0	100.691835539897	94.4416693671543	564.371002675461	0	108.736460959131	67.8778584112152
"13"	535	23.1300670124408	538.173318446313	0	98.8122516383049	91.4324047799267	536.083712931655	0	104.190524403527	65.8146375158161
"14"	508	22.5388553391693	503.268636955324	0	93.0647241499133	89.7106748317222	501.13474722928	0	100.024458372262	64.2628807129377
"15"	482	21.9544984001001	481.28116878494	0	89.5770332878812	86.7530647493342	479.707921209375	0	97.3040444969449	62.4189898774489
"16"	457	21.3775583264319	454.912113054114	0	89.6735306367278	84.3276524876542	455.491424615742	0	96.6516039204879	60.710884251567
"17"	434	20.8326666559997	437.762504333567	0	84.7778738691554	82.1730338038142	437.463326328708	0	95.5501578694272	59.3109380215839
"18"	412	20.2977831301844	411.363294639648	0	85.4811098837852	79.9593905111158	413.919376451723	0	91.1107607649389	57.4301963858403
"19"	391	19.7737199332852	390.186398729779	0	79.4172998223877	78.4986143372957	391.057505780308	0	88.8508868224901	56.4115326363703
"20"	371	19.2613602842582	370.084021278699	0	78.0528567541447	76.5209362617482	366.235507795372	0	87.0969033448048	54.9435196672578
"21"	352	18.7616630392937	352.278634959199	0	79.5495890708254	74.8659717071833	351.649839060776	0	86.8917659725875	53.6164357199647
"22"	334	18.2756668824971	331.27095360638	0	76.1077210096454	71.6883185108853	334.590408781814	0	80.037178998331	51.8839632430251
"23"	317	17.8044938147649	318.940538569904	0	71.3796146937841	70.3944731181976	315.581283325052	0	78.9733622799727	50.7074976586921
"24"	301	17.3493515728975	302.630936964142	0	70.243253085176	69.0033678076082	300.872663237131	0	75.2160808999799	49.6031667917882
"25"	285	16.8819430161341	282.825705076235	0	69.3318201156918	66.788322006136	283.679568892963	0	74.2073698751767	48.0092671066968
"26"	270	16.431676725155	273.190150145504	0	66.7366858746008	64.761664507278	269.91532013452	0	74.7102621679507	46.6639816230787
