"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	10000	100	10000.6904522605	0	177.089649400619	177.272040079547	10005.2979889367	0	185.626459769548	194.626287978016
"2"	9490	97.4166310236604	9490.86567706462	0	168.152159581889	172.870208843158	9485.44103665178	0	179.931288905015	189.398295186618
"3"	9010	94.9210198006743	9015.70142193178	0	157.188091102813	168.550323987722	9017.15526391742	0	172.10761540453	185.111749961298
"4"	8550	92.4662100445346	8552.9274556344	0	155.885851654647	164.644013814502	8555.30686413884	0	165.495516354167	180.246424990697
"5"	8120	90.1110426085505	8110.31495611838	0	155.755804000908	160.23299628003	8114.40855876734	0	167.901301250902	175.22095972952
"6"	7710	87.8066056740608	7707.4068896006	0	152.5283167601	155.311512132509	7703.11087219188	0	165.379801456209	170.447659888346
"7"	7320	85.5569985448298	7324.88375689108	0	148.384535461298	152.41185445705	7329.78229964212	0	154.998977551713	167.429114881803
"8"	6950	83.3666600026653	6947.42566430914	0	139.009158965292	147.804712558177	6951.13736835975	0	145.178366921436	161.975934360455
"9"	6600	81.2403840463596	6600.83973640518	0	140.238331045919	144.440351868056	6601.70599295345	0	152.682350450344	157.965035621194
"10"	6260	79.1201617794099	6259.62126460888	0	131.001164328733	140.503791727723	6264.07481218526	0	145.020918129314	153.785633555845
"11"	5940	77.0713954719908	5938.47043999927	0	129.022672295487	136.967219050864	5937.74642618551	0	137.705463570586	150.171049184822
"12"	5640	75.0999334220743	5639.07077363823	0	130.79840246235	133.28536836571	5638.2896408176	0	135.376112639084	146.587438118606
"13"	5350	73.143694191639	5353.52910343571	0	128.423956185466	129.76449054019	5355.33480956548	0	133.357833802137	142.131754299907
"14"	5080	71.2741187248218	5083.87386481464	0	122.423453776882	126.771393846711	5086.74304598136	0	129.462887556603	138.780616476157
"15"	4820	69.4262198308391	4827.27810814695	0	117.390573029729	123.44119553078	4828.27192565771	0	126.5818147454	134.79859302467
"16"	4570	67.6017751246223	4568.42534275765	0	114.922767556701	119.71076466828	4566.78004407337	0	124.032466561297	131.109807959059
"17"	4340	65.8786763680024	4340.4594034708	0	113.532247835916	117.03649032097	4339.94101354773	0	121.765588328663	128.086516784697
"18"	4120	64.1872261435249	4116.02129513545	0	106.148839987686	114.097783932954	4114.25232323787	0	115.197798292084	124.024911086764
"19"	3910	62.5299928034539	3910.03531197102	0	107.183439313372	111.014900145692	3909.07591550055	0	118.270867739636	121.825028586088
"20"	3710	60.9097693313642	3711.0269790188	0	103.552665001618	108.29372584544	3715.55770827311	0	109.769726588983	118.654742106722
"21"	3520	59.3295878967653	3522.35058065553	0	101.980468798408	105.588732282439	3522.75753889854	0	112.354361770274	115.788802600634
"22"	3340	57.7927331071996	3338.70535761102	0	101.389052150685	102.132920397533	3333.73259513765	0	105.183786693215	112.047395500639
"23"	3170	56.302753041037	3166.37037158602	0	95.4215648919374	99.855466942093	3169.06698033601	0	100.42919988453	109.506727797617
"24"	3010	54.8634668973808	3009.93755889894	0	94.6692659424545	97.553078315138	3011.10467874786	0	99.1180861603775	107.12184067315
"25"	2850	53.3853912601566	2849.13756436557	0	90.8706280106456	94.8756488374682	2848.93960919889	0	96.6954740507218	103.67969222567
"26"	2700	51.9615242270663	2697.9001579908	0	88.4948863536981	92.0470575592234	2700.89877265551	0	94.5196559038124	100.774445093585
"27"	2560	50.5964425626941	2560.67086675302	0	91.0976973586541	89.618751517803	2560.29112209735	0	94.3003263434682	98.1166308110429
"28"	2430	49.295030175465	2431.35696419337	0	87.1534371488234	87.3428864118295	2430.57954209649	0	93.4869653335338	95.6165683687564
"29"	2300	47.9583152331272	2297.5834587206	0	80.0459729661848	85.1580797634155	2296.90309147019	0	86.5325739526518	93.0168281181812
"30"	2180	46.690470119715	2178.88688570635	0	80.3087536706802	82.9640842841126	2181.24701149937	0	87.7538321924811	90.5586500223429
"31"	2070	45.4972526643093	2070.82703713025	0	78.2997670082778	80.7156745966307	2071.31143726316	0	83.6953238540508	88.3416904220027
"32"	1960	44.2718872423573	1960.41081476281	0	78.2646746336046	78.5605709048264	1959.03393704432	0	82.1718796231576	86.0584143804432
"33"	1860	43.1277173056956	1857.13152410351	0	69.6583492073737	76.7420671976564	1860.29701202471	0	76.1306111393671	84.1333286475022
"34"	1760	41.9523539268061	1759.21978109963	0	74.1736559889841	74.5362070034848	1758.16301251659	0	80.6556183442658	81.4079578323389
"35"	1670	40.8656334834051	1668.27077596998	0	69.6474592777533	72.6419504797656	1669.17511267006	0	75.2893016640759	79.3653665360894
"36"	1580	39.7492138287036	1578.12463127162	0	68.0240148958865	70.6901196333682	1578.30529579669	0	74.2201319948226	77.3361132107248
"37"	1500	38.7298334620742	1497.92008951238	0	64.537907586431	68.8082536520902	1499.25620814098	0	67.9877253596988	75.3858377275902
"38"	1420	37.6828873628335	1420.55106417275	0	65.9803968295659	66.8694016371465	1419.93585428313	0	70.8614914404561	73.3920418652032
"39"	1340	36.6060104354463	1344.05441355524	0	62.7200723853556	65.183229130859	1341.46556043116	0	67.0595369376854	71.6024904124707
"40"	1270	35.6370593624109	1269.45945724119	0	62.9466465001233	63.2861800577848	1269.51875489463	0	64.7832184350985	69.2961726093541
"41"	1200	34.6410161513775	1203.10081840921	0	59.5804830956276	61.4853017885367	1204.19117803142	0	64.1232772385868	67.2049736414565
"42"	1130	33.6154726279432	1130.419633814	0	58.6220013650865	59.5746600829255	1128.74680862341	0	62.3669086709431	65.3466478232088
"43"	1070	32.7108544675922	1066.71339439282	0	56.9827647819095	58.0610130078138	1068.8430756209	0	60.5018175011647	63.6094826014725
"44"	1010	31.7804971641414	1007.72661791566	0	53.3573243859212	56.3319843731205	1009.50408560239	0	56.8432450794418	61.9360541199219
"45"	950	30.8220700148449	949.522335522899	0	55.753410775419	54.5420971480841	948.942239516144	0	57.0905034193784	59.6498552737404
"46"	900	30	903.579946915772	0	50.3436035122078	53.2767824963672	902.494169362615	0	55.0973080171637	58.1447409342871
"47"	850	29.1547594742265	848.49797149464	0	51.4770801466682	51.9450804631816	849.495507848381	0	54.7611111412632	56.9721174548472
"48"	800	28.2842712474619	798.093269906626	0	47.8880856767313	50.1021340111277	800.225699530623	0	51.8475180102808	54.7511009127019
"49"	750	27.3861278752583	748.602989626349	0	47.8249889428988	48.659450717423	750.496646746886	0	50.9904682530561	53.197212280723
"50"	710	26.6458251889485	711.170603843281	0	46.4034191950054	47.4313580611945	711.302465114091	0	47.7944792616681	51.8458576998857
"51"	670	25.8843582110896	669.948307217644	0	45.6620966801874	45.8289736032047	669.723026262805	0	48.2861167308615	50.2512501875125
"52"	630	25.0998007960223	630.430982520225	0	42.7472963324681	44.5472095381145	631.562210110315	0	44.7553956768538	48.6270099061898
"53"	590	24.2899156029822	588.752749669449	0	41.5807115681163	43.0779287788718	588.424635087537	0	43.7984918518352	47.2983249327274
"54"	560	23.6643191323985	559.920014366435	0	40.5955373910762	42.013227142696	560.46448882592	0	42.5240303211285	45.9789827053687
"55"	530	23.0217288664427	527.152596495061	0	39.0341479759334	40.8829625782377	528.575787249784	0	40.948423813013	44.6918108308052
"56"	500	22.3606797749979	500.497595600997	0	38.7061781829011	39.8382539283108	500.629613539089	0	42.4189098391759	43.5870120995825
"57"	470	21.6794833886788	468.861163877533	0	36.2848489081775	38.3881482462241	468.933555320064	0	37.86814178336	42.1126437677467
"58"	440	20.976176963403	438.914298026785	0	34.1905831686336	37.0579470472305	437.9760429206	1	37.9616401030419	40.6234976839883
"59"	410	20.2484567313166	409.788215235908	0	36.1008503290805	35.9692406891959	410.427824391893	0	37.2492913992859	39.4131564875394
"60"	380	19.4935886896179	379.584677835127	0	33.0981012460224	34.4451344965049	379.30041922835	0	35.5792344665762	37.7449758067294
"61"	360	18.9736659610103	362.186030132905	0	33.4902852315012	33.6971851670009	362.279706964077	0	35.9801110824589	36.8546545347871
"62"	340	18.4390889145858	340.02481059238	0	30.85607614612	32.7199249421316	339.517545405852	1	33.3581078329511	35.7037874957897
"63"	320	17.8885438199983	319.850189276752	0	29.9382479163765	31.685671621462	318.916706985021	0	31.7895697958081	34.798111101266
"64"	300	17.3205080756888	299.605809870561	0	29.4606067008696	30.6568776883292	298.754542577785	1	31.5679493472219	33.5064861643424
"65"	280	16.7332005306815	280.064562129706	0	28.662000031367	29.6855913379963	280.426353448475	0	31.5483888014198	32.4499012080259
"66"	260	16.1245154965971	258.820956923981	0	27.964284800019	28.5901296346419	258.351963941937	0	29.4519277211359	31.3608322742505
"67"	240	15.4919333848297	240.335518876155	0	26.7610172280591	27.5168621958406	240.35486521722	0	28.0845421702423	30.0721476752979
"68"	220	14.8323969741913	220.632761214659	0	26.5493282303787	26.3281685346764	220.558923645835	0	27.780855001601	28.862141905353
"69"	200	14.142135623731	199.62443215406	0	24.2634777127187	24.9928984488813	199.52599490792	1	26.0610081425886	27.3116553352392
"70"	180	13.4164078649987	180.879294537373	0	22.2456874488421	23.949251795196	180.754606314588	0	24.5287227598217	26.1288775393788
"71"	170	13.0384048104053	169.104723522294	0	21.8443255283584	23.0494006585965	168.942001799814	0	23.4789231322874	25.1838421007497
"72"	160	12.6491106406735	160.266266491225	0	21.9052522719852	22.504807538771	160.949475687873	0	24.4874610903476	24.5962488859041
"73"	150	12.2474487139159	150.79802973608	0	21.4050815885723	21.7529786725854	151.195298509773	0	22.8887369992034	23.7877673084456
"74"	140	11.8321595661992	139.439775428316	0	19.5912673020597	20.9700232961064	139.073803232286	0	21.410075707329	23.035110193913
"75"	130	11.4017542509914	130.077157027181	0	19.1930023484784	20.1699660833982	129.944277009996	0	20.8379885502657	22.1441571841472
"76"	120	10.9544511501033	120.560823772133	0	18.1483039476366	19.4467939327473	120.551443136763	1	19.4766667484687	21.2340975663605
"77"	110	10.4880884817015	108.455589853949	0	17.813395482084	18.4544316704105	108.675960443167	2	19.1514698969514	20.205502711017
"78"	100	10	99.2826891884172	0	17.4672272330387	17.6876629455039	99.9251978471285	1	18.32133820212	19.3817568945233
"79"	90	9.48683298050514	90.0515458639651	0	15.6459197452237	16.8434380388339	90.1603134208505	0	16.9774737755461	18.4383258527991
"80"	80	8.94427190999916	79.1476988982483	0	15.1810655063651	15.7822319670861	79.6908407632361	0	16.0015517113201	17.2988178414448
"81"	70	8.36660026534076	69.816319884514	0	14.1083410982929	14.781071416945	69.7886264279159	0	15.5233617731954	16.2563558763764
"82"	60	7.74596669241483	60.1987720415994	0	13.014080398638	13.6902199747071	60.0195028159976	0	14.1620901469022	15.0616253787298
"83"	50	7.07106781186548	49.903449226339	0	12.3688570351616	12.469620147151	49.8889085387947	0	13.5845332236028	13.7381431446254
"84"	40	6.32455532033676	39.881228491163	0	10.5113695504661	11.1288628282947	39.9092638052179	0	11.308163021698	12.2064693041845
"85"	30	5.47722557505166	29.8694766294201	0	9.25785605160216	9.62056988056535	30.1592472574324	0	10.1732525373754	10.5858300367171
"86"	20	4.47213595499958	19.8979431417269	0	7.57542030239604	7.84715769782783	20.1274354657302	0	7.82345876017032	8.6404689649925
"87"	10	3.16227766016838	9.7536188439207	0	5.52323788397974	5.40342843957481	9.73999440347015	1	5.78153052426702	6.07126549186192
