"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"1"	2000	44.7213595499958	1991.91712295613	0	91.1653211529293	68.9825749611192	1988.05356489161	0	90.7514574398131	37.1089815979934
"2"	1798	42.4028300942284	1799.80445872305	0	89.700317222688	66.7505013384159	1804.24665539198	0	100.833180246987	35.6991681111418
"3"	1618	40.2243707222375	1610.35083649001	0	77.9795031121595	63.0626709508959	1607.61347008064	0	78.9678341844971	33.9975402865412
"4"	1456	38.1575680566778	1451.3087108315	0	62.9748691861857	58.9730489808961	1455.49575543457	0	75.4836951290139	31.965098552996
"5"	1310	36.1939221417077	1314.11987410016	0	69.6192854879709	58.9064739732372	1307.95620225684	0	80.6204105820365	30.5571001835051
"6"	1178	34.322004603461	1176.12737119262	0	69.3160258248445	54.7466823501378	1173.2637483255	0	73.7874461449502	29.0864118490412
"7"	1060	32.5576411921994	1064.40603343904	0	59.264923015952	51.5597114004157	1058.29180879691	0	64.18694378655	27.2601206603581
"8"	952	30.854497241083	958.129297697104	0	66.5055081747667	47.3954234541882	961.741021326088	0	63.9292085690142	25.7888842661143
"9"	856	29.2574776766556	848.807359238555	0	49.114368549295	49.2703390059256	841.304781045211	0	50.3469897793955	24.9199039963497
"10"	770	27.7488738510232	772.222530053998	0	47.310491222853	41.2234037899682	770.800792277098	0	47.7139881381304	22.7498258393741
"11"	692	26.3058928759318	686.120412089703	0	49.830387759932	42.2213196572236	689.276011889076	0	55.927346748811	22.1572138240912
"12"	622	24.9399278266799	621.382551319374	0	46.6603823220797	38.1131323104944	623.084519425219	0	48.2728461428958	20.6741847673074
"13"	558	23.6220236220354	565.368741287598	0	43.6310664195193	37.5196285681518	562.68097084183	0	48.1844899213981	19.8312970876166
"14"	502	22.4053565024081	506.942173810727	0	39.3792839708639	33.9392449046213	497.63423713734	0	43.0232956715733	18.6188242736908
"15"	450	21.2132034355964	455.747363022838	0	42.1961729347629	34.0063858347366	449.570805875044	0	40.9155156478205	18.0831309302933
"16"	404	20.0997512422418	402.200421477607	0	39.0238673553534	31.290036696743	397.571228171775	0	42.960999267645	16.758738035137
"17"	362	19.0262975904404	361.801766386378	0	34.4778735488387	30.2570208107692	360.646718624186	0	37.0828883731564	15.9376348841906
"18"	324	18	322.630585547263	0	32.2512465270803	29.1567728898295	322.164347190664	0	34.597441430312	15.3274278345916
"19"	290	17.0293863659264	294.888653513216	0	35.2196866410212	26.8511680816698	293.759366382844	0	37.1284738720676	14.3557296848087
"20"	260	16.1245154965971	257.598268070921	0	28.8914881316138	25.7792391312919	256.436963435223	0	30.6442520244262	13.5227535282101
"21"	232	15.2315462117278	226.934963352277	0	33.170386010688	23.9974576892	227.927986287109	0	32.4297923774329	12.750439755462
"22"	208	14.422205101856	208.106338996576	0	27.2148082298829	22.5211307109805	207.591258130679	0	29.0817123562762	12.0546426314366
"23"	186	13.6381816969859	184.559692416694	0	25.5175511849168	20.6211658703987	182.390830163558	0	26.0771056949605	11.2660847077979
"24"	166	12.8840987267251	165.173667278946	0	23.684466412968	20.0392027670762	167.389118857005	0	26.4661129642087	10.8427311005163
"25"	148	12.1655250605964	148.952547493587	0	24.1556087521673	19.1799234595431	148.321545941029	0	24.912312205338	10.2214290962489
"26"	132	11.4891252930761	135.51542742694	0	22.3830568980776	18.9493488374419	134.886104315526	0	25.5103909375216	9.78800457456575
"27"	118	10.8627804912002	117.09735084728	0	20.1246757789933	17.6032791569658	119.761287615694	0	19.922782700904	9.17373367389489
"28"	106	10.295630140987	106.171854866952	0	22.4084134802418	16.6614332243898	107.364339747242	0	23.2799985691802	8.67408414898065
"29"	94	9.69535971483266	93.3006289136545	0	19.3404595089127	15.7021969586418	92.5451475717165	0	20.9893070416601	8.12086257858006
"30"	84	9.16515138991168	86.0030821903379	0	18.1453064599495	14.4015858479533	87.0005114806254	0	21.7051170600762	7.71493145897074
"31"	74	8.60232526704263	78.2209736375508	0	15.1221144979681	13.682243281494	76.5809158747726	0	18.1326193446234	7.27586347056868
"32"	66	8.12403840463596	68.5513088389326	0	14.8543512980684	12.8652378722624	68.16630894353	0	17.3386924863312	6.85387271342509
